X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough
935223.0266,190535.0526,1,0.116357453,0.000782307,Newark Airport,1,EWR
1032515.672,167292.4932,2,0.433469667,0.00486634,Jamaica Bay,2,Queens
1025882.735,254779.6006,3,0.084341106,0.000314414,Allerton/Pelham Gardens,3,Bronx
990618.7951,203105.5323,4,0.043566527,0.000111872,Alphabet City,4,Manhattan
931467.9628,139837.4784,5,0.09214649,0.000497957,Arden Heights,5,Staten Island
965428.9907,157538.1873,6,0.150490543,0.000606461,Arrochar/Fort Wadsworth,6,Staten Island
1005999.211,216570.1602,7,0.107417171,0.000389788,Astoria,7,Queens
1005519.389,222953.6698,8,0.027590691,2.66E-05,Astoria Park,8,Queens
1042979.892,214199.9913,9,0.099784092,0.000338444,Auburndale,9,Queens
1042036.075,186404.2457,10,0.099839479,0.000435824,Baisley Park,10,Queens
981302.2496,159321.9404,11,0.079211039,0.000264521,Bath Beach,11,Brooklyn
979954.989,195212.3219,12,0.036661301,4.15E-05,Battery Park,12,Manhattan
979781.1033,198536.3805,13,0.050281323,0.000149359,Battery Park City,13,Manhattan
975797.9399,166466.4165,14,0.175213698,0.001381778,Bay Ridge,14,Brooklyn
1042966.344,225424.58,15,0.144336223,0.000925219,Bay Terrace/Fort Totten,15,Queens
1047503.935,216688.0688,16,0.141291874,0.000871889,Bayside,16,Queens
998342.7423,191392.6395,17,0.093522633,0.000322958,Bedford,17,Brooklyn
1015524.983,255811.6162,18,0.06979955,0.00014885,Bedford Park,18,Bronx
1059665.197,207710.5081,19,0.101824875,0.000546661,Bellerose,19,Queens
1015775.56,251807.9383,20,0.051440192,0.000134513,Belmont,20,Bronx
989442.568,158619.632,21,0.115973569,0.000380251,Bensonhurst East,21,Brooklyn
985833.472,161380.1201,22,0.126170229,0.000472063,Bensonhurst West,22,Brooklyn
939978.1196,160646.8523,23,0.290556029,0.002195566,Bloomfield/Emerson Hill,23,Staten Island
993782.5748,231481.0489,24,0.046999962,6.07E-05,Bloomingdale,24,Manhattan
988005.4733,189064.6011,25,0.04714582,0.000124168,Boerum Hill,25,Brooklyn
987147.7987,168296.9402,26,0.123547807,0.00053404,Borough Park,26,Brooklyn
1009318.866,142929.9855,27,0.202508809,0.001340888,Breezy Point/Fort Tilden/Riis Beach,27,Queens
1037665.211,198318.0765,28,0.097960782,0.000291204,Briarwood/Jamaica Hills,28,Queens
